date,energy_Wh,clouds,temp,humidity
2025-09-26 20:24:33,4.711,40,28.97,89
2025-09-26 20:24:38,4.711,40,28.97,89
2025-09-26 20:24:42,4.711,40,28.97,89
2025-09-26 20:24:47,4.711,40,28.97,89
2025-09-26 20:24:51,4.711,40,28.97,89
2025-09-26 20:24:55,4.711,40,28.97,89
2025-09-26 20:25:00,4.711,40,28.97,89
2025-09-26 20:25:04,4.711,40,28.97,89
2025-09-26 20:25:09,4.711,40,28.97,89
2025-09-26 20:25:13,4.711,40,28.97,89
2025-09-26 20:25:18,4.711,40,28.97,89
2025-09-26 20:25:22,4.711,40,28.97,89
2025-09-26 20:25:26,4.711,40,28.97,89
2025-09-26 20:25:31,4.711,40,28.97,89
2025-09-26 20:25:35,4.711,40,28.97,89
2025-09-26 20:25:39,4.711,40,28.97,89
2025-09-26 20:25:43,4.711,40,28.97,89
2025-09-26 20:25:47,4.711,40,28.97,89
2025-09-26 20:25:51,4.711,40,28.97,89
2025-09-26 20:25:56,4.711,40,28.97,89
2025-09-26 20:26:00,4.711,40,28.97,89
2025-09-26 20:26:04,4.711,40,28.97,89
2025-09-26 20:26:09,4.711,40,28.97,89
2025-09-26 20:26:13,4.711,40,28.97,89
2025-09-26 20:26:17,4.711,40,28.97,89
2025-09-26 20:26:22,4.711,40,28.97,89
2025-09-26 20:26:26,4.711,40,28.97,89
2025-09-26 20:26:30,4.711,40,28.97,89
2025-09-26 20:26:34,4.711,40,28.97,89
2025-09-26 20:26:38,4.711,40,28.97,89
2025-09-26 20:26:42,4.711,40,28.97,89
2025-09-26 20:26:46,4.711,40,28.97,89
2025-09-26 20:26:49,4.711,40,28.97,89
2025-09-26 20:26:54,4.711,40,28.97,89
2025-09-26 20:26:58,4.711,40,28.97,89
2025-09-26 20:27:02,4.711,40,28.97,89
2025-09-26 20:27:06,4.711,40,28.97,89
2025-09-26 20:27:10,4.711,40,28.97,89
2025-09-26 20:27:14,4.711,40,28.97,89
2025-09-26 20:27:18,4.711,40,28.97,89
2025-09-26 20:27:22,4.711,40,28.97,89
2025-09-26 20:27:26,4.711,40,28.97,89
2025-09-26 20:27:30,4.711,40,28.97,89
2025-09-26 20:27:34,4.711,40,28.97,89
2025-09-26 20:27:38,4.711,40,28.97,89
2025-09-26 20:27:42,4.711,40,28.97,89
2025-09-26 20:27:46,4.711,40,28.97,89
2025-09-26 20:27:50,4.711,40,28.97,89
2025-09-26 20:27:54,4.711,40,28.97,89
2025-09-26 20:27:59,4.711,40,28.97,89
2025-09-26 20:28:03,4.711,40,28.97,89
2025-09-26 20:28:07,4.711,40,28.97,89
2025-09-26 20:28:11,4.711,40,28.97,89
2025-09-26 20:28:15,4.711,40,28.97,89
2025-09-26 20:28:20,4.711,40,28.97,89
2025-09-26 20:28:24,4.711,40,28.97,89
2025-09-26 20:28:28,4.711,40,28.97,89
2025-09-26 20:28:32,4.711,40,28.97,89
2025-09-26 20:28:37,4.711,40,28.97,89
2025-09-26 20:28:41,4.711,40,28.97,89
2025-09-26 20:28:45,4.711,40,28.97,89
2025-09-26 20:28:49,4.711,40,28.97,89
2025-09-26 20:28:53,4.711,40,28.97,89
2025-09-26 20:28:57,4.711,40,28.97,89
2025-09-26 20:29:02,4.711,40,28.97,89
2025-09-26 20:29:06,4.711,40,28.97,89
2025-09-26 20:29:10,4.711,40,28.97,89
2025-09-26 20:29:13,4.711,40,28.97,89
2025-09-26 20:29:18,4.711,40,28.97,89
2025-09-26 20:29:22,4.711,40,28.97,89
2025-09-26 20:29:26,4.711,40,28.97,89
2025-09-26 20:29:30,4.711,40,28.97,89
2025-09-26 20:29:34,4.711,40,28.97,89
2025-09-26 20:29:38,4.711,40,28.97,89
2025-09-26 20:29:42,4.711,40,28.97,89
2025-09-26 20:29:46,4.711,40,28.97,89
2025-09-26 20:29:50,4.711,40,28.97,89
2025-09-26 20:29:54,4.711,40,28.97,89
